Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-04-25,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,92,154,45%,84,19.19,3.19,126,,,
2020-04-26,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,111,185,44%,94,20.41,3.40,152,,,
2020-04-26,On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,1096,203,49%,87,21.39,32.07,1505,,,
2020-04-28,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,167,186,45%,91,20.37,5.08,229,,,
2020-04-28,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Max Ride,599,222,49%,86,21.34,16.00,823,,,
2020-04-28,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,8,130,46%,72,18.05,0.32,11,,,
2020-04-29,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,109,182,44%,92,20.31,3.38,150,,,
2020-04-29,On Demand,Matt Wilpers,75,Cycling,Power Zone,75 min Power Zone Endurance Ride,923,205,48%,88,21.52,26.89,1268,,,
2020-04-30,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,173,192,45%,94,20.71,5.17,237,,,
2020-04-30,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,815,227,50%,89,22.19,22.19,1120,,,
2020-05-01,On Demand,Matt Wilpers,45,Cycling,Low Impact,45 min Low Impact Ride,442,164,48%,80,19.76,14.82,607,,,
2020-05-02,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,173,192,45%,94,20.70,5.17,237,,,
2020-05-02,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,819,228,50%,87,22.09,22.09,1126,,,
2020-05-03,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,116,193,44%,96,20.82,3.47,159,,,
2020-05-03,On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,1142,212,49%,89,21.78,32.66,1569,,,
2020-05-05,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,170,189,45%,93,20.54,5.13,233,,,
2020-05-05,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Max Ride,575,213,47%,87,20.74,15.55,789,,,
2020-05-05,On Demand,Matt Wilpers,15,Cycling,Low Impact,15 min Low Impact Ride,129,144,49%,71,18.09,4.49,177,,,
2020-05-06,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,117,196,44%,95,20.88,3.47,161,,,
2020-05-06,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,771,214,50%,87,21.86,21.86,1059,,,
2020-05-06,On Demand,Matt Wilpers,15,Cycling,Low Impact,15 min Low Impact Ride,147,164,50%,77,19.77,4.94,202,,,
2020-05-07,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,182,203,45%,96,21.22,5.30,250,,,
2020-05-07,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,849,236,50%,91,22.53,22.53,1166,,,
2020-05-08,On Demand,Matt Wilpers,45,Cycling,Low Impact,45 min Low Impact Ride,461,171,48%,81,20.09,15.07,633,,,
2020-05-09,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,181,202,45%,94,21.13,5.28,249,,,
2020-05-09,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,841,234,50%,89,22.39,22.39,1156,,,
2020-05-09,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,99,166,47%,82,19.86,3.30,136,,,
2020-05-10,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,119,199,45%,95,21.06,3.50,163,,,
2020-05-10,On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,1202,223,50%,89,22.21,33.31,1651,,,
2020-05-11,On Demand,Matt Wilpers,45,Cycling,Low Impact,45 min Low Impact Ride,434,161,48%,80,19.53,14.65,596,,,
2020-05-12,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,176,195,45%,94,20.83,5.21,241,,,
2020-05-12,On Demand,Olivia Amato,45,Cycling,Power Zone,45 min Power Zone Ride,656,243,51%,89,22.57,16.92,901,,,
2020-05-12,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,88,147,46%,79,18.91,3.15,121,,,
2020-05-13,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,112,188,45%,94,20.53,3.41,154,,,
2020-05-13,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,755,210,49%,88,21.70,21.69,1038,,,
2020-05-14,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,173,192,46%,91,20.65,5.16,237,,,
2020-05-14,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,807,224,51%,87,22.12,22.11,1109,,,
2020-05-14,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,79,132,45%,78,18.05,3.00,109,,,
2020-05-16,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,182,203,45%,95,21.22,5.30,251,,,
2020-05-16,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,824,229,50%,88,22.19,22.18,1131,,,
2020-05-16,On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Low Impact Ride,87,145,47%,77,18.71,3.11,120,,,
2020-05-17,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,172,192,45%,94,20.76,5.18,237,,,
2020-05-17,On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,1153,214,50%,87,21.86,32.78,1584,,,
2020-05-19,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,179,199,45%,96,21.01,5.25,246,,,
2020-05-19,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Max Ride,615,228,50%,87,21.71,16.28,844,,,
2020-05-20,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,115,192,44%,97,20.81,3.46,158,,,
2020-05-20,On Demand,Matt Wilpers,75,Cycling,Power Zone,75 min Power Zone Endurance Ride,958,213,50%,87,21.80,27.25,1316,,,
2020-05-21,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,173,192,45%,93,20.67,5.17,238,,,
2020-05-21,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,823,229,51%,88,22.28,22.28,1131,,,
2020-05-22,On Demand,Matt Wilpers,45,Cycling,Low Impact,45 min Low Impact Ride,436,162,47%,81,19.68,14.75,600,,,
2020-05-23,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,181,201,46%,94,21.09,5.27,248,,,
2020-05-23,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,809,225,50%,88,22.05,22.05,1112,,,
2020-05-24,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,120,200,45%,97,21.12,3.51,164,,,
2020-05-24,On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,1206,223,50%,88,22.21,33.31,1657,,,
2020-05-25,On Demand,Matt Wilpers,45,Cycling,Low Impact,45 min Low Impact Ride,431,160,49%,78,19.57,14.66,592,,,
2020-05-26,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,178,198,46%,94,20.93,5.23,244,,,
2020-05-26,On Demand,Matt Wilpers,20,Cycling,Power Zone,20 min FTP Test Ride,367,306,58%,86,25.07,8.35,503,,,
2020-05-26,On Demand,Matt Wilpers,30,Cycling,Low Impact,30 min Low Impact Ride,293,163,49%,79,19.70,9.85,403,,,
2020-05-27,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,120,200,45%,95,21.07,3.51,164,,,
2020-05-27,On Demand,Matt Wilpers,75,Cycling,Power Zone,75 min Power Zone Endurance Ride,984,219,51%,86,22.04,27.55,1352,,,
2020-05-28,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,173,193,45%,92,20.67,5.16,238,,,
2020-05-28,On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,851,237,53%,85,22.55,22.55,1169,,,
2020-05-30,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,170,189,45%,92,20.43,5.11,233,,,
2020-05-30,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Max Ride,570,211,49%,80,20.50,15.37,782,,,
2020-06-02,On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min FTP Warm Up Ride,99,163,42%,92,19.40,3.26,136,,,
2020-06-02,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,123,206,47%,92,21.20,3.53,169,,,
2020-06-02,On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Max Ride,567,210,49%,81,20.34,15.24,779,,,
2020-06-03,On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,115,192,45%,94,20.78,3.46,158,,,
2020-06-03,On Demand,Matt Wilpers,75,Cycling,Power Zone,75 min Power Zone Endurance Ride,804,195,51%,78,20.14,23.08,1104,,,
